"Empresas:";"046-QUATAI"
"Almoxarifados:";"GRUPO CSC, INICIALIZAR KM PEÇAS, DESATIVADO, VIÇOTUR, TRES FRONTEIRAS, PARACATU VENDAS, PARACATU, TRES MARIAS, VAZANTE, JOAO PINHEIRO, VARZEA DA PALMA, LASSANCE, CORINTO, JACOBINA, PRIMUS TURISMO, ITABIRA, TEIXEIRAS, VIÇOSA SERVICE, JUATUBA, DESATIVADO, SANFER VIÇOSA, SANFER ITABIRITO, VIACAO VICOSA, ANSAL VITORINO, ANSAL BANDEIRANTES, VIAÇÃO NOROESTE, LAFAIETE, CONGONHAS, GRANBERY EMPREENDIMENTOS, RIO BRANCO, GODINHOS, UNAI, ALTO HORIZONTE, POUSO ALEGRE, ALMOXAIRFADO LAJU, PLANALTO VIÇOSA, CURVELO, ARIPUANÃ, UBA, INATIVO - ALTO HORIZONTE, QUATAI, ITAGUAI, ITAPETINGA, AGUA CLARA, ARACAJU, DESATIVADO, BARÃO DE COCAIS, TRANSPORTADORA CARAÇA, BOCAIUVA, MINEIROS, MACHADO, SAO FRANCISCO, CAMAPUÃ, DOURADOS, CRIXAS, JATAI, RIO VERDE, PRIMAVERA, MINACU, RESENDE, VICOSA SERVICOS ITAPETINGA, MOOV, ITABIRITO, ESKAVA MINA, PIRAI, PARAÍBA DO SUL, INATIVO - ITABIRA, INATIVO - JUATUBA, INATIVO - JUATUBA, INATIVO - JUATUBA, INATIVO - ANSAL FILIAL, INATIVO - ANSAL MATRIZ, INATIVO - RIO BRANCO, INATIVO - UBÁ, INATIVO - ITAPETINGA, INATIVO - ITAPETINGA, INATIVO - ITAPETINGA, INATIVO - UNAI, INATIVO - MACUCO, INATIVO - PARACATU, INATIVO - ITABIRITO, INATIVO - ITABIRITO, INATIVO - TRÊS FRONTEIRAS, INATIVO - PARACATU, INATIVO - ITABIRA"
"Grupos de Produtos:";"LUBRIFICANTE, GRAXA E ADITIVOS, PECAS E ACESSORIOS, BORRACHARIA, SINISTRO, BATIDAS E PINTURAS, SERVICOS EXTERNO VEICULAR"
"Subgrupos de Produtos:";"Todos"
"Produto:";"00000000000 a 99999999999"
"Período:";"28/05/2026 a 28/05/2026"
"Tipo de Relatório:";"Detalhado"
"Imprimir PMU:";"Não"
"Quebrar por Subgrupo::";"Não"
"Imprimir Produtos Inativos:";"Sim"
"Imprimir Apenas Produtos Movimentados:";"Nao"
"Imprime Apenas Produtos com Contabilização de Saída:";"Não"

Empresa: 046 - QUATAI
Almoxarifado: 446 - QUATAI
Grupo: 04 - LUBRIFICANTE, GRAXA E ADITIVOS
Produtos;Saldo Ant.;Total (R$);Qtd. Entrada;Valor (R$);Qtd. Saída;Valor (R$);Saldo;Total (R$);Locação;
"3115 - BUCHA ESTABILIZADOR INTEIRO TRASEIRO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"A2-4";
"3301 - MOLA 1ª MESTRE TRASEIRO BUCHA 788X78";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"3395 - GRAMPO MOLA DIANTEIRO 9/16X72X220D";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"5819 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"5827 - MOLA 7ª DIANTEIRO 296X296 MB1417";"3,000";"272,10";"0,000";"0,00";"0,000";"0,00";"3,000";"272,10";"FU-ND-O";
"6726 - PARAFUSO SEXTAVADO ACO8.8 RT 14X130M";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"7218 - MOLA 9ª TRASEIRO MB914E";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"7374 - CONTRAPINO 5/32X2""";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"8044 - MOLA 7ª DIANTEIRO 192X266 MB 914/915";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"8991 - SUPORTE MOLA DIANTEIRO PARTE DIANTEI";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"9237 - JUMELO MOLA H TRASEIRO MB1417";"1,000";"80,20";"0,000";"0,00";"0,000";"0,00";"1,000";"80,20";"B7-5";
"10383 - AMORTECEDOR MOLA DIANTEIRO MB1417";"2,000";"345,25";"0,000";"0,00";"0,000";"0,00";"2,000";"345,25";"A2-2";
"10391 - AMORTECEDOR SUSPENSAO TRASEIRO MB141";"7,000";"1.665,87";"0,000";"0,00";"0,000";"0,00";"7,000";"1.665,87";"A2-3";
"10588 - AMORTECEDOR DIANTEIRO VW9150/9160";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"10821 - ARRUELA ENCOSTO ALGEMA MOLA DIANTEIR";"8,000";"13,60";"0,000";"0,00";"0,000";"0,00";"8,000";"13,60";"B7-5";
"10839 - ARRUELA ENCOSTO ALGEMA MOLA TRASEIRO";"20,000";"36,00";"0,000";"0,00";"0,000";"0,00";"20,000";"36,00";"B7-5";
"11380 - BUCHA OLHAL AMORTECEDOR DIANTEIRO MB";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"11410 - BUCHA BARRA ESTABILIZADORA MEIA LUA ";"4,000";"39,60";"0,000";"0,00";"0,000";"0,00";"4,000";"39,60";"A2-4";
